Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 11 2 1
1 239 60 2 4
2 239 467 4 7
3 243 400 2 9
4 239 276 1 6
5 3 12 3 1
6 2 2 2 0
7 241 100 3 1
8 4 2 4 0
9 1 7 1 0
10 240 44 2 0
11 226 57 4 2
12 234 538 3 13
13 179 258 3 3
14 4 6 4 0
15 240 945 0 22
16 2 0 2 0
17 2 4 2 1
18 0 4 0 0
19 1 4 1 0
20 3 3 3 0
21 241 135 1 5
22 1 0 1 0
23 3 10 3 0
24 240 453 4 6
25 4 8 4 1
26 1 13 1 0
27 2 3 2 0
28 242 59 3 0
29 4 6 4 1
30 240 132 2 3
31 240 175 7 5
32 3 7 3 0
33 147 72 1 3
34 4 4 4 0
35 240 230 0 8
36 1 11 1 0
37 2 4 2 0
38 6 5 6 0
39 241 178 2 11
40 1 5 1 1
41 2 16 2 0
42 2 10 2 0
43 3 20 3 0
44 244 148 5 1
45 3 9 3 0
46 1 2 1 0
47 2 0 2 0
48 241 328 0 15
49 2 0 2 0
50 239 232 1 7
51 3 19 3 0
52 2 18 2 0
53 0 9 0 0
54 3 6 3 0
55 6 4 6 0
56 228 85 3 2
57 2 0 2 0
58 211 51 2 2
59 0 6 0 0
60 2 12 2 0
61 1 6 1 0
62 3 0 3 0
63 244 191 1 6
64 239 102 1 5
65 1 3 1 0
66 3 4 3 0
67 189 117 1 1
68 1 1 1 0
69 8 3 8 0
70 194 186 1 4
71 5 2 5 0
72 225 221 3 6
73 243 258 2 10
74 2 5 2 0
75 232 287 1 7
76 243 108 0 4
77 242 122 3 1
78 1 0 1 0
79 240 344 1 4
80 244 270 1 5
81 245 278 3 7
82 4 12 4 0
83 0 34 0 0
84 2 3 2 0
85 1 3 1 1
86 143 80 2 2
87 177 168 1 8
88 2 0 2 0
89 2 11 2 0
90 2 1 2 0
91 129 56 4 0
92 5 3 5 0
93 2 6 2 0
94 1 2 1 0
95 112 164 0 3
96 3 7 3 0
97 68 118 0 3
