Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 26 4 1
1 340 350 8 11
2 487 417 9 22
3 345 317 7 17
4 454 288 10 14
5 12 57 12 2
6 453 348 7 12
7 7 20 7 1
8 4 17 4 1
9 342 90 6 7
10 7 17 7 1
11 454 200 8 13
12 12 41 12 2
13 15 51 15 2
14 15 38 15 0
15 8 70 8 2
16 483 159 7 6
17 485 1391 7 64
18 5 37 5 1
19 8 50 8 0
20 500 485 6 10
21 13 42 13 1
22 9 22 9 0
23 126 15 2 1
24 494 231 12 4
25 128 142 3 3
26 488 250 11 8
27 491 319 10 8
28 11 44 11 1
29 493 264 8 15
30 2 15 2 0
31 490 258 15 6
32 7 73 7 0
33 494 1826 6 64
34 2 3 2 0
35 490 293 9 3
36 7 0 7 0
37 1 15 1 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 85 2 3 0
