Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 11 2 1
1 237 158 2 4
2 234 339 4 4
3 240 253 2 5
4 1 22 1 0
5 228 346 3 5
6 221 49 2 0
7 3 3 3 0
8 4 2 4 0
9 236 254 1 2
10 2 4 2 0
11 4 12 4 0
12 3 6 3 1
13 3 11 3 0
14 179 336 4 7
15 0 0 0 0
16 2 0 2 0
17 2 6 2 1
18 0 9 0 0
19 26 4 1 1
20 238 23 3 0
21 1 13 1 0
22 1 0 1 0
23 237 222 3 5
24 4 14 4 0
25 238 161 4 1
26 181 304 1 15
27 2 3 2 0
28 239 48 3 0
29 4 10 4 1
30 2 18 2 0
31 7 12 7 0
32 3 11 3 0
33 142 110 1 2
34 4 9 4 0
35 237 227 0 5
36 139 141 1 3
37 240 284 2 8
38 189 146 6 5
39 2 7 2 0
40 1 4 1 1
41 2 15 2 0
42 239 338 2 8
43 234 306 3 8
44 5 1 5 0
45 3 13 3 0
46 1 2 1 0
47 2 0 2 0
48 0 7 0 1
49 2 0 2 0
50 237 254 1 6
51 233 381 3 8
52 234 255 2 9
53 233 195 0 4
54 237 290 3 4
55 5 6 5 1
56 3 4 3 1
57 240 381 1 3
58 2 2 2 0
59 0 19 0 0
60 2 27 2 1
61 175 65 1 5
62 3 0 3 0
63 2 0 2 0
64 238 121 1 3
65 189 136 1 4
66 240 144 3 1
67 185 170 1 3
68 1 3 1 0
69 8 6 8 0
70 184 155 1 3
71 5 4 5 0
72 219 341 3 8
73 2 3 2 0
74 197 107 2 1
75 236 260 1 7
76 242 148 0 6
77 3 5 3 0
78 1 0 1 0
79 1 14 1 0
80 241 174 1 3
81 3 0 3 0
82 3 16 3 0
83 0 63 0 0
84 2 2 2 0
85 239 217 1 4
86 139 117 2 4
87 174 241 1 3
88 240 250 2 2
89 234 272 2 2
90 230 161 2 9
91 128 77 4 0
92 240 246 5 6
93 2 12 2 0
94 133 267 1 5
95 106 135 0 2
96 194 88 3 4
97 66 49 0 0
