Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 12 1 1
1 2 9 2 1
2 184 106 4 8
3 2 7 2 1
4 1 15 1 1
5 0 9 0 3
6 2 4 2 0
7 3 5 3 1
8 3 0 3 0
9 1 9 1 0
10 0 4 0 0
11 1 0 1 0
12 2 1 2 1
13 3 12 3 0
14 139 100 3 14
15 169 126 0 25
16 2 0 2 0
17 0 3 0 1
18 0 0 0 0
19 1 2 1 0
20 2 3 2 1
21 1 16 1 2
22 109 54 1 7
23 3 21 3 0
24 3 12 3 0
25 4 12 4 1
26 1 14 1 2
27 2 7 2 1
28 2 3 2 1
29 3 3 3 1
30 2 16 2 1
31 6 8 6 0
32 3 18 3 1
33 0 3 0 0
34 4 11 4 0
35 0 18 0 0
36 0 16 0 1
37 2 11 2 1
38 6 8 6 2
39 2 6 2 1
40 1 4 1 1
41 1 13 1 0
42 2 9 2 0
43 3 23 3 1
44 4 2 4 0
45 3 23 3 3
46 0 8 0 1
47 2 0 2 0
48 0 7 0 1
49 1 0 1 0
50 1 22 1 1
51 3 12 3 1
52 1 17 1 1
53 0 14 0 1
54 3 7 3 2
55 3 2 3 1
56 3 3 3 1
57 1 0 1 0
58 2 2 2 0
59 0 14 0 0
60 140 71 2 18
61 1 3 1 0
62 1 0 1 0
63 1 0 1 0
64 1 2 1 0
65 1 3 1 1
66 2 5 2 1
67 0 7 0 0
68 1 6 1 0
69 8 5 8 0
70 1 10 1 1
71 2 4 2 0
72 2 18 2 1
73 1 3 1 0
74 129 46 2 12
75 1 18 1 1
76 0 0 0 0
77 3 14 3 1
78 1 0 1 0
79 1 11 1 0
80 1 4 1 0
81 2 0 2 0
82 1 5 1 0
83 0 24 0 1
84 2 3 2 1
85 153 112 1 14
86 2 9 2 1
87 133 120 1 14
88 2 0 2 0
89 2 20 2 0
90 2 3 2 0
91 3 9 3 0
92 162 74 4 7
93 2 12 2 0
94 1 3 1 1
95 0 0 0 0
96 2 3 2 0
97 56 35 0 2
