Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 449 2 10
1 2 9 2 0
2 4 19 4 1
3 3 3 3 0
4 243 294 1 2
5 238 261 3 4
6 235 96 2 2
7 243 55 3 0
8 244 100 4 3
9 1 9 1 0
10 242 48 2 0
11 229 235 4 3
12 4 5 4 1
13 180 210 3 1
14 183 449 4 6
15 249 1065 0 18
16 245 431 2 6
17 2 4 2 1
18 198 5 0 0
19 2 5 2 0
20 243 35 3 2
21 243 147 1 4
22 137 126 1 0
23 241 167 3 4
24 242 455 4 3
25 242 126 4 3
26 1 14 1 0
27 2 3 2 0
28 246 96 3 0
29 4 10 4 1
30 244 77 2 1
31 242 133 7 2
32 245 68 3 1
33 147 62 1 2
34 244 68 4 3
35 242 241 0 7
36 144 80 1 1
37 2 10 2 0
38 6 8 6 1
39 245 200 2 2
40 1 4 1 1
41 245 186 2 3
42 246 464 2 5
43 238 312 3 4
44 248 142 5 1
45 3 8 3 0
46 243 119 1 4
47 249 510 2 9
48 245 373 0 10
49 249 95 2 0
50 1 8 1 0
51 239 327 3 4
52 240 261 2 7
53 0 12 0 0
54 240 128 3 0
55 244 256 6 5
56 236 74 3 2
57 244 346 2 6
58 2 5 2 0
59 0 11 0 0
60 2 8 2 0
61 1 6 1 0
62 3 0 3 0
63 248 214 2 5
64 1 3 1 0
65 201 128 1 1
66 3 2 3 0
67 1 4 1 0
68 191 33 1 0
69 242 129 8 4
70 1 7 1 1
71 5 3 5 0
72 3 12 3 0
73 2 4 2 0
74 201 126 2 3
75 239 248 1 5
76 0 0 0 0
77 3 3 3 0
78 228 220 1 3
79 244 237 1 4
80 1 1 1 0
81 3 0 3 0
82 4 7 4 0
83 223 797 0 19
84 246 618 2 13
85 1 2 1 0
86 2 3 2 0
87 1 2 1 0
88 2 0 2 0
89 2 10 2 0
90 243 202 2 1
91 130 78 4 0
92 5 2 5 0
93 123 42 2 0
94 138 211 1 4
95 117 48 0 0
96 247 159 3 2
97 70 56 0 1
