Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 241 280 2 7
1 238 164 2 1
2 234 396 4 4
3 243 426 3 5
4 1 24 1 0
5 233 457 2 5
6 232 61 2 0
7 238 53 3 0
8 239 51 4 2
9 1 12 1 0
10 238 52 2 0
11 235 214 4 4
12 4 6 4 1
13 178 241 3 1
14 180 305 4 4
15 239 759 0 13
16 240 446 2 5
17 1 7 1 1
18 111 58 0 0
19 112 39 1 1
20 238 31 3 1
21 238 146 1 1
22 135 69 1 0
23 236 177 3 1
24 237 403 4 4
25 241 204 4 2
26 183 345 1 7
27 2 3 2 0
28 242 75 3 1
29 243 147 4 1
30 238 139 2 1
31 237 88 7 0
32 3 11 3 0
33 1 3 1 0
34 4 6 4 0
35 0 13 0 0
36 142 78 1 1
37 238 262 2 4
38 212 131 7 1
39 238 192 2 3
40 242 168 1 4
41 241 234 1 4
42 242 276 2 7
43 3 31 3 0
44 244 114 5 1
45 234 290 3 4
46 237 130 0 2
47 245 518 2 7
48 0 8 0 1
49 245 142 2 1
50 241 309 1 5
51 3 29 3 0
52 234 287 2 3
53 0 12 0 0
54 236 214 3 2
55 6 7 6 1
56 233 118 3 3
57 2 0 2 0
58 2 3 2 0
59 239 141 0 2
60 231 731 2 12
61 177 92 1 0
62 240 136 3 2
63 2 1 2 0
64 237 99 1 1
65 190 126 1 1
66 241 100 3 2
67 187 277 1 1
68 188 42 1 1
69 237 124 8 6
70 1 6 1 1
71 5 3 5 0
72 225 370 3 6
73 2 4 2 0
74 2 4 2 0
75 235 215 1 6
76 240 159 0 5
77 243 168 3 0
78 207 200 1 2
79 238 235 1 3
80 1 2 1 0
81 243 173 3 1
82 4 9 4 0
83 193 594 0 14
84 242 629 2 14
85 1 3 1 1
86 142 105 2 0
87 176 197 1 2
88 242 227 2 3
89 2 13 2 0
90 2 2 2 0
91 130 91 4 0
92 242 199 5 3
93 121 74 2 0
94 1 4 1 0
95 0 0 0 0
96 206 128 3 2
97 0 4 0 0
