Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 350 2 8
1 241 325 2 4
2 240 411 4 6
3 246 491 3 9
4 242 338 1 3
5 237 406 3 4
6 2 4 2 0
7 3 4 3 0
8 243 78 4 2
9 240 211 1 3
10 242 71 2 0
11 238 179 4 4
12 4 7 4 1
13 3 8 3 0
14 4 9 4 0
15 0 0 0 0
16 2 0 2 0
17 2 7 2 1
18 0 7 0 0
19 145 51 2 1
20 3 2 3 0
21 1 2 1 0
22 1 0 1 0
23 240 151 3 4
24 239 416 4 4
25 4 10 4 0
26 184 503 1 9
27 184 79 2 2
28 245 44 3 0
29 246 151 4 2
30 241 98 2 0
31 241 157 7 2
32 244 90 3 1
33 145 101 1 2
34 245 178 4 6
35 0 13 0 0
36 142 126 1 4
37 2 10 2 0
38 7 7 7 1
39 2 5 2 0
40 245 205 1 3
41 244 221 2 2
42 2 9 2 0
43 238 316 3 7
44 247 113 5 0
45 239 323 3 8
46 240 123 1 3
47 248 467 2 10
48 1 8 1 1
49 248 141 2 2
50 1 8 1 0
51 3 34 3 0
52 239 312 2 5
53 0 15 0 0
54 239 193 3 3
55 244 272 6 6
56 236 109 3 4
57 242 392 2 7
58 2 4 2 0
59 242 226 0 2
60 2 24 2 0
61 1 6 1 0
62 244 93 3 2
63 247 340 2 7
64 241 121 1 3
65 200 135 1 0
66 244 126 3 2
67 188 140 1 3
68 1 1 1 0
69 241 115 8 4
70 195 224 1 5
71 238 224 5 6
72 3 18 3 0
73 246 219 2 5
74 2 5 2 0
75 238 213 1 4
76 0 0 0 0
77 246 186 3 4
78 1 0 1 0
79 1 15 1 0
80 1 1 1 0
81 3 0 3 0
82 238 159 4 3
83 0 61 0 0
84 245 588 2 12
85 246 235 1 3
86 142 105 2 1
87 1 2 1 0
88 248 216 2 3
89 236 403 2 5
90 2 1 2 0
91 130 107 4 0
92 5 2 5 0
93 2 6 2 0
94 136 300 1 6
95 110 136 0 0
96 3 11 3 0
97 67 59 0 0
