Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 33 4 0
1 328 278 8 2
2 465 422 9 9
3 333 342 7 9
4 436 289 10 8
5 439 1026 11 29
6 436 325 7 14
7 264 27 7 0
8 329 73 4 1
9 6 13 6 0
10 7 25 7 1
11 436 136 6 9
12 465 329 12 8
13 11 74 11 0
14 439 367 14 8
15 421 920 7 27
16 463 132 6 2
17 465 1291 7 38
18 475 342 5 4
19 8 64 8 0
20 479 418 6 11
21 472 312 13 9
22 474 262 8 8
23 159 19 3 2
24 12 45 12 0
25 161 179 3 4
26 467 202 10 3
27 470 304 10 0
28 437 223 11 16
29 472 291 8 6
30 84 5 4 0
31 469 272 15 4
32 465 474 7 16
33 473 2080 6 55
34 0 6 0 0
35 469 279 9 3
36 7 0 5 0
37 7 15 7 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 28 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 58 3 7 0
