Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 17 4 0
1 7 17 7 0
2 410 298 9 21
3 334 205 7 10
4 406 261 9 15
5 11 55 11 2
6 5 45 5 1
7 6 23 6 1
8 4 15 4 0
9 6 13 6 2
10 6 19 6 2
11 7 42 7 0
12 394 194 12 24
13 13 38 13 2
14 409 318 12 18
15 8 41 8 2
16 5 54 5 2
17 431 553 5 55
18 5 32 5 1
19 9 29 9 0
20 7 20 7 0
21 422 202 12 13
22 9 18 9 0
23 1 1 1 1
24 12 38 12 1
25 3 15 3 2
26 8 33 8 1
27 419 171 8 6
28 11 57 11 6
29 8 41 8 3
30 3 24 3 0
31 419 216 13 15
32 6 79 6 1
33 423 1022 7 58
34 24 6 1 0
35 8 46 8 2
36 0 2 0 2
37 3 5 3 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 1 2 1 0
