Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 318 2 11
1 2 8 2 0
2 4 26 4 1
3 247 493 2 7
4 241 388 1 5
5 3 17 3 1
6 232 133 2 1
7 241 85 3 3
8 243 157 4 2
9 240 285 1 4
10 2 6 2 0
11 238 113 4 2
12 4 6 4 1
13 3 6 3 0
14 4 9 4 0
15 242 636 0 15
16 2 0 2 0
17 195 17 2 2
18 0 6 0 0
19 2 4 2 0
20 3 4 3 1
21 242 123 1 2
22 1 0 1 0
23 240 222 3 4
24 4 11 4 0
25 4 9 4 1
26 1 21 1 0
27 183 73 2 1
28 246 32 3 1
29 247 162 4 2
30 2 11 2 0
31 241 92 7 3
32 3 8 3 0
33 147 136 1 2
34 244 85 4 4
35 242 155 0 7
36 144 135 1 4
37 245 275 2 4
38 7 5 7 0
39 2 7 2 0
40 246 220 1 4
41 245 352 2 5
42 2 9 2 0
43 236 488 3 8
44 248 141 5 1
45 237 389 3 9
46 1 4 1 0
47 2 0 2 0
48 0 6 0 1
49 249 109 2 0
50 1 6 1 0
51 3 25 3 0
52 240 403 2 5
53 238 160 0 3
54 3 2 3 0
55 6 7 6 0
56 231 94 3 3
57 242 291 2 7
58 2 3 2 0
59 243 261 0 5
60 230 654 2 11
61 182 154 1 3
62 3 0 3 0
63 248 293 2 7
64 1 3 1 0
65 1 2 1 0
66 245 102 3 2
67 186 168 1 2
68 1 1 1 0
69 8 6 8 0
70 195 157 1 3
71 5 5 5 0
72 3 10 3 0
73 2 4 2 0
74 2 6 2 0
75 1 6 1 1
76 244 176 0 5
77 3 3 3 0
78 1 0 1 0
79 242 240 1 3
80 1 1 1 0
81 247 170 3 3
82 238 168 4 3
83 0 39 0 0
84 246 489 2 14
85 1 3 1 1
86 2 2 2 0
87 1 3 1 0
88 247 232 2 4
89 236 280 2 6
90 2 1 2 0
91 4 5 4 0
92 246 225 5 5
93 2 8 2 0
94 136 234 1 4
95 114 69 0 2
96 247 114 3 1
97 0 4 0 0
