Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 33 4 1
1 340 216 8 11
2 510 781 10 32
3 7 9 7 0
4 10 35 10 2
5 468 1176 13 46
6 7 36 7 1
7 484 89 8 4
8 4 16 4 1
9 339 80 8 4
10 8 26 8 1
11 10 58 10 1
12 517 375 13 16
13 517 885 15 49
14 468 362 14 13
15 8 25 8 2
16 8 42 8 1
17 7 99 7 5
18 5 27 5 1
19 516 324 8 10
20 8 14 8 0
21 13 30 13 2
22 11 22 11 0
23 6 15 6 1
24 13 38 13 2
25 184 21 3 4
26 11 29 11 2
27 9 24 9 1
28 485 466 11 31
29 9 29 9 1
30 3 30 3 0
31 15 34 15 0
32 8 78 8 3
33 511 973 7 94
34 1 5 1 0
35 9 39 9 1
36 135 2 2 2
37 475 42 10 1
38 0 0 0 0
39 8 6 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 333 5 9 0
45 0 0 0 0
46 0 0 0 0
47 6 5 6 0
48 0 0 0 0
49 7 0 7 0
50 14 0 0 0
51 91 1 0 0
