Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 369 282 4 7
1 372 207 8 8
2 545 773 13 12
3 375 558 7 8
4 489 130 10 4
5 492 1853 13 53
6 7 39 7 0
7 508 88 9 3
8 373 96 4 2
9 372 167 8 4
10 498 131 8 6
11 507 303 12 11
12 552 929 14 16
13 553 2712 15 54
14 492 365 15 6
15 488 2761 8 68
16 542 124 8 3
17 9 164 9 4
18 554 339 5 3
19 552 361 10 13
20 8 14 8 0
21 551 293 13 12
22 555 652 12 8
23 267 30 6 1
24 551 389 14 6
25 268 265 5 2
26 546 220 11 7
27 549 510 12 7
28 495 528 11 16
29 551 177 9 7
30 487 46 5 1
31 548 276 15 6
32 544 580 8 29
33 8 129 8 3
34 18 23 0 0
35 548 397 9 13
36 241 14 11 1
37 485 52 11 0
38 0 7 0 0
39 8 6 7 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 363 5 10 0
45 0 0 0 0
46 0 0 0 0
47 247 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 10 0
51 518 27 9 0
