Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 350 141 4 5
1 353 184 8 10
2 526 713 12 11
3 356 403 7 8
4 479 106 10 4
5 482 1590 11 33
6 490 323 6 9
7 498 81 9 4
8 363 59 4 1
9 353 127 7 2
10 488 56 7 5
11 492 312 9 14
12 533 415 13 9
13 534 1773 15 35
14 482 241 16 3
15 482 1379 8 31
16 523 145 6 2
17 525 2157 7 51
18 535 279 5 6
19 533 393 10 10
20 8 13 8 0
21 532 253 13 8
22 535 447 12 4
23 37 5 6 1
24 12 25 12 0
25 4 22 4 0
26 527 144 11 3
27 530 205 11 2
28 11 57 11 1
29 532 130 8 4
30 5 33 5 0
31 529 258 15 4
32 525 439 8 26
33 533 2466 8 63
34 2 8 2 0
35 529 399 9 7
36 135 14 11 1
37 361 30 7 0
38 0 7 0 0
39 12 0 7 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 362 5 10 0
45 0 0 0 0
46 0 0 0 0
47 235 5 6 0
48 6 0 0 0
49 7 0 0 0
50 10 4 10 0
51 503 15 9 0
