Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 348 164 4 11
1 349 173 7 12
2 10 92 10 2
3 354 475 7 7
4 452 191 10 5
5 452 1251 11 41
6 7 54 7 0
7 9 30 9 0
8 354 65 4 2
9 7 7 7 0
10 8 27 8 2
11 481 246 12 17
12 12 58 12 0
13 14 47 14 1
14 452 344 13 3
15 8 87 8 5
16 488 60 7 2
17 490 1698 8 62
18 5 30 5 1
19 499 495 9 16
20 504 610 6 20
21 497 411 13 19
22 11 26 11 0
23 6 15 6 1
24 497 591 13 15
25 242 30 5 4
26 492 807 10 22
27 10 44 10 1
28 470 538 11 24
29 8 41 8 3
30 96 18 2 0
31 494 412 15 13
32 491 378 6 34
33 6 87 6 3
34 10 10 0 0
35 494 373 9 12
36 235 14 11 1
37 460 69 11 2
38 0 0 0 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 236 5 6 0
48 2 0 0 0
49 7 0 7 0
50 14 0 10 0
51 7 24 7 0
