Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 244 349 2 7
1 243 232 2 1
2 4 15 4 1
3 248 355 3 7
4 242 284 1 4
5 238 297 3 7
6 235 16 2 1
7 243 108 3 1
8 4 1 4 0
9 1 6 1 0
10 244 71 2 0
11 239 312 4 7
12 242 563 4 5
13 3 7 3 0
14 183 346 4 3
15 0 0 0 0
16 245 341 2 8
17 200 82 2 1
18 0 4 0 0
19 2 6 2 0
20 3 4 3 1
21 1 3 1 0
22 1 0 1 0
23 241 129 3 5
24 242 373 4 7
25 242 87 4 3
26 1 19 1 0
27 2 5 2 0
28 3 3 3 0
29 4 10 4 1
30 243 147 2 0
31 242 106 7 3
32 3 11 3 0
33 1 3 1 0
34 4 4 4 0
35 243 299 0 7
36 142 92 1 2
37 2 10 2 0
38 228 140 6 3
39 243 225 2 5
40 247 163 1 1
41 246 130 2 3
42 247 433 2 7
43 239 309 3 3
44 249 131 5 0
45 3 12 3 0
46 243 105 1 3
47 250 392 2 5
48 0 4 0 1
49 250 121 2 1
50 246 230 1 4
51 239 423 3 4
52 240 321 2 5
53 239 147 0 2
54 240 270 3 4
55 6 6 6 0
56 236 52 3 1
57 244 344 2 3
58 225 92 2 3
59 0 10 0 0
60 235 1174 2 18
61 182 143 1 2
62 245 149 3 1
63 249 183 2 4
64 242 90 1 2
65 1 4 1 0
66 246 123 3 1
67 1 3 1 0
68 190 49 1 0
69 8 6 8 0
70 204 142 1 1
71 239 146 5 2
72 3 10 3 0
73 2 4 2 0
74 201 92 2 2
75 239 253 1 7
76 0 0 0 0
77 248 109 3 1
78 228 143 1 4
79 243 263 1 3
80 247 222 1 7
81 248 136 3 3
82 4 9 4 0
83 0 59 0 0
84 247 790 2 15
85 1 2 1 0
86 2 5 2 0
87 1 4 1 0
88 2 0 2 0
89 2 10 2 0
90 243 204 2 3
91 130 91 4 1
92 247 266 5 5
93 122 84 2 0
94 1 3 1 0
95 0 0 0 0
96 3 11 3 0
97 0 4 0 0
