Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 0
1 8 13 8 0
2 11 65 11 0
3 348 266 7 11
4 10 28 10 2
5 466 1005 11 42
6 6 35 6 0
7 462 25 8 2
8 347 87 4 4
9 342 150 7 7
10 7 19 7 1
11 9 35 9 0
12 504 387 12 12
13 15 39 15 1
14 15 24 15 0
15 8 61 8 2
16 498 132 6 4
17 500 1387 7 62
18 511 411 5 18
19 9 27 9 0
20 515 347 7 10
21 508 301 13 13
22 10 18 10 0
23 1 1 1 1
24 508 202 12 5
25 3 10 3 2
26 503 548 11 13
27 506 294 10 7
28 11 43 11 2
29 508 246 8 10
30 5 31 5 0
31 505 560 15 11
32 7 76 7 1
33 509 1780 7 66
34 0 2 0 0
35 505 241 9 10
36 1 4 1 1
37 7 31 7 0
38 0 0 0 0
39 12 0 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 236 5 6 0
48 0 0 0 0
49 0 0 0 0
50 14 0 0 0
51 8 13 8 0
