Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 351 179 4 6
1 354 253 8 11
2 528 776 12 9
3 357 387 7 6
4 10 45 10 2
5 11 84 11 1
6 492 355 6 10
7 500 72 8 3
8 364 97 4 3
9 6 8 6 1
10 485 90 6 4
11 494 325 11 11
12 535 937 13 17
13 536 1596 15 35
14 479 171 15 3
15 475 1763 8 33
16 525 139 6 4
17 527 2313 9 53
18 537 377 5 5
19 535 287 10 10
20 8 14 8 0
21 534 274 13 9
22 537 452 11 9
23 40 4 6 1
24 534 272 13 6
25 5 22 5 0
26 529 171 11 2
27 532 233 12 3
28 482 425 11 17
29 534 125 8 5
30 474 49 5 0
31 531 268 15 3
32 527 513 8 30
33 535 2568 8 65
34 52 18 2 0
35 531 368 9 6
36 240 14 11 1
37 472 39 11 0
38 0 7 0 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 360 5 10 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 6 0 0 0
49 7 0 7 0
50 14 0 9 0
51 505 12 9 0
