Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 363 283 4 4
1 361 283 8 8
2 534 630 13 12
3 369 515 7 10
4 480 226 10 4
5 13 100 13 2
6 484 533 7 13
7 499 97 8 4
8 371 116 4 2
9 7 8 7 1
10 490 132 7 4
11 498 288 10 11
12 541 609 14 18
13 542 1998 15 42
14 483 300 15 3
15 483 2738 8 64
16 531 110 8 4
17 533 2148 8 55
18 543 364 5 7
19 541 451 10 19
20 547 356 8 6
21 540 286 13 12
22 544 403 11 10
23 262 30 6 1
24 13 25 13 0
25 262 257 4 2
26 535 192 11 4
27 538 233 12 1
28 486 541 11 16
29 540 171 9 6
30 5 28 5 0
31 537 296 15 5
32 533 398 8 27
33 8 103 8 3
34 0 8 0 0
35 537 354 9 8
36 241 14 11 1
37 477 38 11 0
38 0 7 0 0
39 8 6 8 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 370 5 10 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 6 0 0 0
49 7 0 7 0
50 14 0 9 0
51 9 13 9 0
