Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 0
1 362 193 8 6
2 12 51 12 0
3 369 242 7 4
4 10 30 10 2
5 496 1480 12 38
6 504 351 7 11
7 503 115 9 2
8 371 79 4 2
9 363 130 7 2
10 502 99 8 5
11 505 147 12 10
12 544 838 13 8
13 546 1404 15 38
14 15 23 15 0
15 489 1722 8 36
16 8 31 8 0
17 537 1945 9 53
18 547 411 5 11
19 545 363 10 12
20 551 327 8 5
21 544 285 13 8
22 547 268 12 5
23 203 31 6 4
24 544 292 13 8
25 202 203 3 3
26 539 238 11 2
27 542 197 12 2
28 499 335 11 16
29 544 140 8 4
30 491 44 5 0
31 541 398 15 5
32 537 334 8 30
33 545 2592 8 62
34 16 20 0 1
35 541 334 9 5
36 11 14 11 0
37 489 43 10 0
38 7 0 3 0
39 14 0 8 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 369 5 11 0
45 0 0 0 0
46 0 0 0 0
47 255 5 6 0
48 0 0 0 0
49 7 0 7 0
50 14 0 10 0
51 9 9 9 0
