Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 241 295 2 3
1 236 193 2 2
2 238 401 4 4
3 246 256 2 4
4 1 16 1 0
5 237 216 3 4
6 234 44 2 1
7 3 2 3 0
8 4 1 4 0
9 1 6 1 0
10 241 24 2 0
11 229 316 4 4
12 241 542 4 8
13 181 250 3 1
14 184 253 4 3
15 248 1232 0 15
16 244 361 2 7
17 208 106 2 1
18 0 4 0 0
19 209 114 2 0
20 242 27 3 1
21 242 162 1 1
22 137 61 1 0
23 240 138 3 4
24 241 319 4 3
25 241 113 4 2
26 186 492 1 7
27 2 3 2 0
28 3 3 3 0
29 4 13 4 1
30 241 99 2 0
31 241 90 7 0
32 244 117 3 0
33 148 82 1 1
34 245 125 4 2
35 241 136 0 4
36 145 101 1 2
37 246 275 2 5
38 227 120 6 2
39 246 212 2 2
40 1 4 1 1
41 244 157 2 3
42 245 368 2 6
43 3 21 3 0
44 5 2 5 0
45 3 12 3 0
46 1 3 1 0
47 248 326 2 3
48 246 369 1 6
49 2 0 2 0
50 244 262 1 5
51 236 396 3 3
52 238 241 2 6
53 238 138 0 1
54 238 177 3 1
55 243 185 6 3
56 3 2 3 1
57 2 0 2 0
58 2 5 2 0
59 0 8 0 0
60 235 923 2 7
61 181 70 1 2
62 244 131 3 1
63 247 154 2 4
64 1 3 1 0
65 200 125 1 1
66 244 89 3 1
67 1 3 1 0
68 191 33 1 0
69 8 5 8 0
70 1 4 1 0
71 232 134 5 2
72 229 188 3 2
73 243 131 2 5
74 2 3 2 0
75 1 8 1 1
76 244 122 0 4
77 246 157 3 1
78 229 127 1 5
79 243 217 1 3
80 1 1 1 0
81 246 140 3 1
82 4 7 4 0
83 225 662 0 14
84 245 583 2 12
85 246 145 1 1
86 144 139 2 4
87 178 152 1 2
88 248 202 2 5
89 236 282 2 4
90 239 119 2 1
91 4 16 4 0
92 5 2 5 0
93 123 36 2 1
94 139 187 1 2
95 118 52 0 1
96 236 140 3 2
97 0 1 0 0
