Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 19 4 2
1 4 10 4 0
2 9 51 9 2
3 7 8 7 1
4 8 33 8 3
5 10 24 10 2
6 5 38 5 0
7 4 10 4 2
8 4 13 4 2
9 4 8 4 2
10 389 175 6 24
11 8 50 8 0
12 12 23 12 1
13 10 17 10 3
14 12 22 12 0
15 7 25 7 2
16 4 36 4 3
17 367 129 6 67
18 4 26 4 2
19 9 19 9 1
20 6 19 6 0
21 12 37 12 2
22 8 19 8 0
23 1 1 1 1
24 10 31 10 3
25 1 2 1 2
26 402 185 8 13
27 7 25 7 1
28 11 44 11 3
29 7 32 7 3
30 0 0 0 0
31 14 37 14 0
32 7 45 7 3
33 408 753 6 77
34 0 6 0 1
35 404 196 7 14
36 0 2 0 2
37 1 9 1 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 1 2 1 0
