Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 22 4 0
1 374 203 9 6
2 540 711 13 11
3 377 335 7 10
4 10 31 10 2
5 499 2057 13 49
6 507 336 7 10
7 506 69 8 2
8 325 29 4 1
9 375 69 8 2
10 8 16 8 1
11 508 113 12 12
12 547 771 14 8
13 548 1722 15 51
14 499 353 15 8
15 495 1890 8 37
16 8 30 8 1
17 9 130 9 4
18 549 334 5 8
19 547 309 10 12
20 553 220 8 5
21 546 344 13 9
22 548 212 12 6
23 202 30 6 4
24 546 265 14 4
25 201 205 3 3
26 541 149 11 4
27 544 195 11 1
28 502 223 11 17
29 546 137 9 3
30 494 45 5 0
31 15 31 15 0
32 8 53 8 2
33 547 2731 8 83
34 34 20 1 1
35 543 291 9 8
36 11 14 11 0
37 493 45 10 0
38 7 0 3 0
39 8 6 0 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 365 5 11 0
45 0 0 0 0
46 0 0 0 0
47 259 5 6 0
48 6 0 0 0
49 7 0 7 0
50 0 0 0 0
51 6 6 6 0
