Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 23 4 0
1 350 407 8 11
2 523 657 12 8
3 357 317 7 5
4 472 194 10 5
5 11 99 11 2
6 476 477 6 13
7 491 84 8 2
8 360 65 4 1
9 350 262 6 5
10 481 67 6 3
11 486 278 11 13
12 530 865 13 18
13 531 1898 15 41
14 475 247 16 6
15 471 2726 8 65
16 520 146 6 5
17 522 2212 8 55
18 5 30 5 1
19 530 403 10 19
20 536 398 8 6
21 529 293 13 9
22 533 568 11 9
23 38 4 6 1
24 529 317 13 5
25 3 20 3 1
26 524 192 11 5
27 528 201 11 1
28 11 51 11 1
29 529 125 8 6
30 470 48 5 0
31 526 274 15 4
32 521 555 8 29
33 8 105 8 3
34 0 8 0 0
35 526 303 9 5
36 124 14 11 2
37 363 37 6 0
38 0 7 0 0
39 12 0 7 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 356 5 10 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 6 0 0 0
49 0 0 0 0
50 9 5 9 0
51 496 138 9 1
