Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 7 1 1
1 2 7 2 0
2 235 244 4 8
3 2 7 2 0
4 1 18 1 0
5 229 173 2 9
6 2 4 2 0
7 3 5 3 0
8 4 2 4 0
9 232 214 1 7
10 2 5 2 0
11 234 90 4 0
12 3 3 3 1
13 3 8 3 0
14 4 7 4 0
15 0 0 0 0
16 241 360 2 11
17 1 4 1 1
18 0 3 0 0
19 1 3 1 0
20 3 3 3 1
21 1 14 1 0
22 1 0 1 0
23 3 23 3 0
24 4 11 4 0
25 4 10 4 1
26 1 13 1 1
27 2 3 2 0
28 3 4 3 0
29 4 8 4 1
30 239 84 2 2
31 7 7 7 0
32 3 7 3 0
33 1 2 1 0
34 4 6 4 0
35 0 13 0 0
36 1 8 1 0
37 239 137 2 22
38 201 168 6 11
39 238 178 2 9
40 243 277 1 11
41 240 192 2 3
42 241 497 2 21
43 3 24 3 1
44 4 1 4 0
45 233 205 3 12
46 1 5 1 0
47 2 0 2 0
48 0 5 0 1
49 2 0 2 0
50 1 11 1 0
51 3 16 3 0
52 2 17 2 0
53 0 13 0 0
54 3 7 3 0
55 6 5 6 1
56 3 2 3 1
57 2 0 2 0
58 2 4 2 0
59 0 11 0 0
60 2 11 2 0
61 1 4 1 0
62 3 0 3 0
63 243 142 2 10
64 1 3 1 0
65 1 4 1 1
66 3 10 3 0
67 1 2 1 0
68 1 1 1 0
69 8 6 8 0
70 1 7 1 1
71 5 1 5 0
72 3 11 3 0
73 1 3 1 0
74 2 5 2 0
75 1 14 1 2
76 241 120 0 9
77 3 11 3 0
78 1 0 1 0
79 239 191 1 6
80 241 112 1 7
81 3 0 3 0
82 4 9 4 0
83 198 513 0 24
84 2 3 2 0
85 242 201 1 10
86 2 4 2 0
87 1 4 1 0
88 2 0 2 0
89 2 16 2 0
90 2 1 2 0
91 4 7 4 0
92 5 3 5 0
93 2 11 2 0
94 1 4 1 1
95 0 0 0 0
96 3 6 3 1
97 63 93 0 5
