Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 245 337 2 4
1 242 177 2 0
2 239 351 4 3
3 247 285 3 4
4 1 19 1 0
5 238 373 3 3
6 236 45 2 1
7 243 48 3 0
8 244 111 4 3
9 241 340 1 3
10 243 37 2 0
11 240 336 4 5
12 242 753 4 4
13 181 261 3 2
14 184 270 4 6
15 249 1205 0 15
16 245 396 2 7
17 211 106 2 1
18 211 8 0 0
19 212 192 2 1
20 243 22 3 1
21 243 185 1 2
22 137 86 1 0
23 241 132 3 3
24 242 371 4 3
25 245 100 4 0
26 1 21 1 0
27 186 101 2 3
28 246 78 3 0
29 247 148 4 1
30 244 105 2 0
31 242 111 7 1
32 245 83 3 0
33 148 92 1 1
34 4 5 4 0
35 242 113 0 2
36 145 107 1 3
37 245 335 2 3
38 231 155 7 0
39 243 257 2 3
40 246 157 1 1
41 245 185 2 2
42 246 380 2 6
43 239 344 3 1
44 248 149 5 0
45 240 345 3 3
46 243 99 1 3
47 249 343 2 3
48 0 5 0 1
49 249 87 2 0
50 245 252 1 5
51 239 414 3 3
52 239 285 2 8
53 239 148 0 1
54 240 177 3 1
55 245 220 6 3
56 237 63 3 1
57 244 388 2 3
58 227 65 2 0
59 0 10 0 0
60 237 982 2 6
61 181 113 1 3
62 245 151 3 3
63 248 197 2 2
64 242 59 1 1
65 207 140 1 1
66 245 137 3 2
67 190 250 1 2
68 191 58 1 0
69 8 7 8 0
70 204 167 1 3
71 238 174 5 1
72 231 294 3 1
73 247 197 2 5
74 203 105 2 1
75 239 244 1 3
76 245 129 0 4
77 247 180 3 1
78 230 156 1 2
79 244 260 1 3
80 246 192 1 2
81 247 151 3 0
82 240 235 4 4
83 228 916 0 15
84 246 691 2 9
85 1 2 1 0
86 144 146 2 1
87 1 3 1 0
88 2 0 2 0
89 238 268 2 3
90 243 165 2 1
91 131 69 4 0
92 246 249 5 4
93 123 51 2 1
94 139 195 1 2
95 119 100 0 1
96 247 143 3 1
97 72 60 0 2
