Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 367 215 4 5
1 366 186 8 8
2 540 728 12 8
3 373 387 7 6
4 495 114 10 5
5 493 1769 12 37
6 506 357 7 12
7 514 73 9 3
8 376 55 4 1
9 366 127 7 2
10 499 86 8 3
11 508 316 12 11
12 547 869 13 8
13 548 1783 15 35
14 493 255 15 5
15 489 1899 8 31
16 537 110 8 2
17 539 2608 9 54
18 549 295 5 4
19 547 350 10 11
20 553 337 8 5
21 546 280 13 8
22 549 438 12 5
23 260 31 6 4
24 546 263 13 7
25 261 262 5 2
26 541 171 11 2
27 544 164 12 2
28 496 485 11 15
29 546 151 8 3
30 488 48 5 0
31 543 270 15 4
32 539 459 8 27
33 547 2784 8 63
34 52 21 2 0
35 543 294 9 5
36 241 14 11 1
37 487 39 11 0
38 7 0 3 0
39 14 0 8 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 372 5 10 0
45 0 0 0 0
46 0 0 0 0
47 250 5 6 0
48 6 0 0 0
49 7 0 7 0
50 14 0 10 0
51 517 13 9 0
