Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 3 14 3 0
1 4 11 4 0
2 8 9 8 4
3 7 10 7 1
4 8 25 8 3
5 8 28 8 3
6 3 11 3 5
7 2 3 2 3
8 4 13 4 2
9 6 8 6 2
10 6 18 6 4
11 7 22 7 4
12 11 24 11 2
13 6 18 6 3
14 320 117 10 27
15 5 13 5 7
16 4 27 4 1
17 334 242 3 73
18 2 19 2 2
19 8 17 8 1
20 6 11 6 3
21 12 12 12 3
22 7 12 7 0
23 14 1 1 1
24 11 8 11 4
25 3 21 3 2
26 6 15 6 7
27 7 14 7 7
28 11 29 11 9
29 6 20 6 4
30 0 0 0 0
31 11 15 11 5
32 6 35 6 5
33 5 16 5 3
34 0 3 0 1
35 4 7 4 7
36 0 2 0 2
37 1 2 1 2
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 0 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 0 2 0 0
