Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 235 359 2 6
1 2 18 2 1
2 4 27 4 2
3 3 22 3 0
4 231 317 1 7
5 3 22 3 1
6 2 7 2 0
7 3 11 3 0
8 4 2 4 0
9 1 18 1 0
10 228 35 2 0
11 213 99 4 0
12 201 218 2 4
13 3 30 3 0
14 180 272 4 11
15 0 0 0 0
16 231 218 2 6
17 49 4 2 1
18 51 3 0 0
19 1 9 1 0
20 133 32 2 1
21 1 26 1 0
22 1 0 1 0
23 3 44 3 0
24 4 23 4 0
25 221 140 4 3
26 177 236 1 11
27 182 51 2 2
28 3 21 3 0
29 237 138 4 3
30 2 37 2 1
31 7 21 7 0
32 3 18 3 0
33 1 7 1 0
34 4 15 4 0
35 0 41 0 0
36 141 82 1 4
37 2 16 2 1
38 195 225 6 7
39 2 19 2 0
40 236 187 1 8
41 2 23 2 0
42 235 402 2 13
43 3 54 3 0
44 236 184 4 1
45 205 177 3 5
46 227 116 0 5
47 2 0 2 0
48 215 160 0 6
49 236 157 2 6
50 234 297 1 6
51 3 45 3 0
52 2 42 2 1
53 0 51 0 1
54 222 200 3 8
55 6 6 6 1
56 3 3 3 1
57 1 0 1 0
58 196 116 2 5
59 0 35 0 0
60 2 33 2 1
61 1 7 1 0
62 3 0 3 0
63 231 251 1 11
64 205 105 1 1
65 1 6 1 1
66 3 12 3 0
67 1 13 1 0
68 180 25 1 0
69 220 156 8 4
70 192 151 1 5
71 179 128 5 6
72 181 292 3 6
73 217 346 2 12
74 2 40 2 0
75 1 29 1 1
76 224 205 0 3
77 3 35 3 1
78 1 0 1 0
79 234 248 1 5
80 1 4 1 0
81 3 0 3 0
82 4 15 4 0
83 0 65 0 0
84 2 4 2 0
85 1 4 1 1
86 2 20 2 0
87 1 13 1 0
88 2 0 2 0
89 222 205 2 5
90 207 126 2 8
91 4 21 4 0
92 5 7 5 0
93 2 27 2 0
94 1 7 1 0
95 90 88 0 2
96 3 15 3 1
97 62 80 0 1
