Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 2 9 2 1
1 233 306 2 4
2 4 19 4 2
3 2 12 2 0
4 1 15 1 1
5 230 266 3 4
6 2 3 2 0
7 237 47 3 1
8 4 1 4 0
9 235 222 1 7
10 239 87 2 4
11 4 6 4 0
12 238 573 4 9
13 178 159 3 1
14 181 499 4 6
15 0 0 0 0
16 2 0 2 0
17 2 6 2 1
18 0 5 0 0
19 205 56 1 2
20 3 4 3 1
21 1 6 1 0
22 1 0 1 0
23 238 191 3 3
24 4 9 4 0
25 241 94 4 5
26 1 15 1 0
27 184 60 2 1
28 3 3 3 0
29 243 188 4 6
30 2 15 2 0
31 7 9 7 0
32 3 8 3 0
33 143 73 1 4
34 4 5 4 0
35 240 106 0 5
36 1 10 1 0
37 2 7 2 0
38 197 235 6 4
39 2 3 2 0
40 1 3 1 1
41 241 146 2 3
42 242 436 2 6
43 234 328 3 10
44 4 1 4 0
45 235 313 3 7
46 1 5 1 0
47 2 0 2 0
48 0 4 0 1
49 2 0 2 0
50 1 7 1 0
51 3 18 3 0
52 233 169 2 5
53 0 16 0 0
54 236 247 3 9
55 242 250 6 10
56 3 4 3 1
57 1 0 1 0
58 2 3 2 0
59 235 329 0 8
60 2 24 2 1
61 1 4 1 0
62 3 0 3 0
63 244 127 2 8
64 1 3 1 0
65 1 1 1 0
66 240 110 3 0
67 187 140 1 3
68 1 1 1 0
69 8 3 8 0
70 186 115 1 4
71 4 4 4 0
72 3 19 3 0
73 2 5 2 0
74 194 139 2 2
75 1 11 1 1
76 242 133 0 3
77 3 4 3 0
78 187 209 1 6
79 240 211 1 5
80 237 438 1 10
81 240 150 3 5
82 3 7 3 0
83 0 51 0 0
84 2 3 2 0
85 1 4 1 1
86 2 3 2 0
87 1 2 1 0
88 239 241 2 9
89 233 322 2 11
90 2 1 2 0
91 4 12 4 0
92 238 276 5 6
93 118 104 2 2
94 1 3 1 0
95 111 121 0 5
96 3 11 3 0
97 63 62 0 1
