Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 357 197 4 7
1 355 280 8 12
2 530 725 12 8
3 363 495 7 14
4 485 191 10 8
5 12 71 12 1
6 496 354 7 13
7 492 75 7 4
8 4 16 4 1
9 356 143 6 4
10 489 123 7 4
11 498 355 12 12
12 537 1000 13 19
13 15 66 15 2
14 15 30 15 0
15 479 1944 8 32
16 526 117 8 3
17 528 2345 9 62
18 539 484 5 7
19 537 337 10 11
20 543 345 7 5
21 536 303 13 9
22 538 553 10 11
23 263 30 6 4
24 536 320 13 7
25 263 267 5 3
26 531 161 11 1
27 534 154 12 1
28 486 518 11 17
29 536 239 8 5
30 478 48 5 0
31 533 280 15 4
32 7 83 7 1
33 537 2661 8 64
34 52 18 2 0
35 533 296 9 6
36 241 14 11 1
37 477 39 11 0
38 7 0 3 0
39 14 0 1 0
40 1 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 6 0 0 0
49 7 0 7 0
50 14 0 0 0
51 397 12 9 0
