Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 366 188 4 7
1 365 317 9 10
2 516 719 12 10
3 372 309 7 11
4 465 150 10 3
5 12 80 12 2
6 469 503 6 12
7 492 28 8 3
8 4 10 4 0
9 365 173 7 6
10 474 204 6 7
11 484 140 11 12
12 14 69 14 1
13 524 1293 15 36
14 468 162 14 3
15 469 2048 8 64
16 513 90 5 3
17 515 1934 8 67
18 5 27 5 1
19 523 390 9 23
20 529 401 7 10
21 522 255 13 10
22 11 21 11 0
23 37 5 6 1
24 14 25 14 1
25 5 22 5 0
26 517 212 11 5
27 10 33 10 0
28 479 321 11 23
29 9 22 9 3
30 331 32 3 0
31 519 314 15 8
32 514 648 8 29
33 8 89 8 3
34 0 7 0 0
35 9 29 9 1
36 11 14 11 0
37 11 33 11 1
38 0 7 0 0
39 8 6 8 0
40 0 6 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 11 5 11 0
45 0 0 0 0
46 0 0 0 0
47 8 0 0 0
48 6 0 0 0
49 7 0 7 0
50 14 0 9 0
51 481 145 7 2
