Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 243 397 2 2
1 236 177 2 1
2 240 435 4 3
3 245 370 3 4
4 241 424 1 1
5 235 365 3 1
6 211 18 2 0
7 236 34 3 0
8 241 94 4 1
9 238 381 1 6
10 240 93 2 0
11 230 244 4 3
12 227 457 3 6
13 180 295 3 3
14 182 333 4 2
15 239 631 0 17
16 243 409 2 4
17 117 43 2 1
18 63 10 0 0
19 121 88 1 1
20 212 6 3 0
21 241 149 1 1
22 135 70 1 0
23 239 211 3 1
24 238 317 4 5
25 223 161 4 1
26 185 269 1 8
27 185 105 2 0
28 244 93 3 2
29 245 198 4 2
30 233 120 2 1
31 240 164 7 0
32 244 163 3 1
33 145 108 1 2
34 241 190 4 2
35 238 193 0 4
36 142 102 1 1
37 241 332 2 4
38 197 198 6 1
39 241 255 2 3
40 245 199 1 2
41 244 219 2 4
42 245 351 2 4
43 235 356 3 2
44 246 178 5 1
45 230 215 3 7
46 239 148 1 1
47 248 406 2 6
48 241 291 0 4
49 246 124 2 1
50 244 359 1 2
51 229 343 3 0
52 220 287 2 4
53 237 190 0 2
54 236 186 3 3
55 243 260 6 2
56 225 104 3 2
57 241 286 2 1
58 206 96 2 1
59 242 276 0 1
60 222 411 2 7
61 182 102 1 0
62 241 176 3 1
63 246 221 2 0
64 240 57 1 1
65 192 178 1 3
66 244 125 3 0
67 188 256 1 1
68 189 91 1 0
69 239 109 8 0
70 200 160 1 3
71 198 141 5 1
72 220 324 3 2
73 245 341 2 3
74 195 139 2 0
75 225 245 1 5
76 243 221 0 1
77 216 235 3 1
78 194 169 1 4
79 241 272 1 5
80 229 159 1 2
81 246 191 3 0
82 231 152 4 1
83 189 426 0 12
84 244 384 2 5
85 214 211 1 1
86 142 141 2 1
87 176 243 1 2
88 244 265 2 2
89 229 265 2 1
90 222 159 2 3
91 129 73 4 0
92 245 250 5 3
93 119 72 2 1
94 135 159 1 2
95 110 96 0 0
96 203 114 3 1
97 66 83 0 0
