Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 332 271 4 5
1 314 242 7 2
2 412 525 9 16
3 338 383 7 4
4 391 447 10 7
5 383 856 12 28
6 378 571 7 13
7 149 28 6 1
8 280 80 3 1
9 290 98 6 4
10 288 209 7 9
11 273 80 6 5
12 339 213 12 10
13 434 569 12 20
14 383 412 12 11
15 372 565 8 24
16 420 151 7 3
17 433 962 7 34
18 461 317 5 8
19 391 392 9 5
20 471 552 8 13
21 463 514 13 13
22 437 191 9 7
23 2 13 2 1
24 12 127 12 1
25 103 20 3 2
26 459 328 10 11
27 445 322 10 3
28 320 148 10 8
29 373 196 8 2
30 1 33 1 0
31 460 447 13 7
32 428 532 6 12
33 7 176 7 3
34 15 13 0 0
35 460 584 8 9
36 3 0 2 0
37 12 3 5 0
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 7 5 7 0
45 0 0 0 0
46 0 0 0 0
47 14 0 6 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 27 5 7 1
