Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 285 186 3 0
1 7 39 7 0
2 439 411 9 13
3 291 384 7 6
4 10 87 10 2
5 367 614 11 31
6 7 99 7 0
7 8 23 8 0
8 4 37 4 1
9 7 18 7 0
10 368 100 8 5
11 388 58 6 3
12 349 210 12 14
13 435 462 10 18
14 12 88 12 0
15 386 477 7 18
16 347 149 6 4
17 429 761 6 42
18 411 275 5 7
19 414 319 9 14
20 7 38 7 0
21 471 304 13 13
22 447 260 10 12
23 3 13 3 1
24 471 295 12 4
25 113 24 3 3
26 466 227 10 5
27 10 59 10 0
28 10 89 10 3
29 420 187 8 4
30 32 7 2 0
31 13 61 13 0
32 8 140 8 0
33 472 1471 6 64
34 20 10 1 0
35 468 449 8 8
36 3 0 1 0
37 14 4 2 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 6 5 6 0
45 0 0 0 0
46 0 0 0 0
47 5 5 5 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 25 3 4 0
