Number of messages: 281
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 1 10 1 1
1 213 118 2 5
2 4 15 4 2
3 237 320 2 14
4 1 19 1 1
5 3 19 3 1
6 2 4 2 0
7 233 130 3 5
8 4 2 4 0
9 1 11 1 0
10 234 39 2 1
11 4 3 4 0
12 2 5 2 1
13 3 6 3 0
14 4 5 4 0
15 241 739 0 24
16 2 0 2 0
17 1 4 1 1
18 141 3 0 0
19 1 4 1 0
20 214 40 2 2
21 233 171 1 8
22 133 80 1 3
23 3 21 3 0
24 4 13 4 0
25 233 210 4 3
26 1 15 1 1
27 183 56 2 2
28 3 7 3 0
29 4 4 4 1
30 234 179 2 6
31 7 8 7 0
32 238 179 3 4
33 1 1 1 0
34 4 3 4 0
35 0 21 0 0
36 1 9 1 1
37 2 9 2 0
38 188 119 6 3
39 2 3 2 0
40 1 7 1 1
41 1 16 1 0
42 238 373 2 9
43 3 29 3 1
44 5 1 5 0
45 3 21 3 0
46 0 4 0 0
47 2 0 2 0
48 0 5 0 1
49 2 0 2 0
50 1 11 1 0
51 3 18 3 0
52 1 23 1 1
53 0 9 0 0
54 3 3 3 0
55 5 4 5 1
56 201 91 3 8
57 1 0 1 0
58 2 1 2 0
59 0 14 0 0
60 206 514 2 16
61 1 3 1 0
62 1 0 1 0
63 1 1 1 0
64 1 2 1 0
65 1 1 1 0
66 237 152 3 2
67 1 4 1 0
68 187 29 1 2
69 8 6 8 0
70 185 162 1 8
71 4 4 4 0
72 3 10 3 0
73 2 3 2 0
74 187 120 2 4
75 1 12 1 1
76 237 108 0 6
77 3 4 3 0
78 186 313 1 10
79 235 186 1 3
80 1 1 1 0
81 3 0 3 0
82 3 13 3 0
83 184 526 0 15
84 2 4 2 0
85 237 139 1 10
86 2 4 2 0
87 1 2 1 0
88 2 0 2 0
89 229 279 2 8
90 2 1 2 0
91 4 7 4 0
92 5 2 5 0
93 116 71 2 1
94 133 129 1 4
95 0 0 0 0
96 3 7 3 0
97 67 120 0 3
