Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 4 38 4 0
1 331 347 7 4
2 10 109 10 1
3 7 32 7 0
4 437 362 10 5
5 12 86 12 2
6 427 596 7 23
7 213 23 6 2
8 335 121 4 1
9 332 120 6 4
10 410 266 7 9
11 8 86 8 0
12 473 255 12 10
13 488 876 13 34
14 435 475 13 7
15 395 818 8 27
16 477 207 7 3
17 479 1392 7 53
18 4 67 4 1
19 486 429 8 10
20 493 496 8 13
21 486 436 13 11
22 488 282 10 13
23 3 13 3 1
24 12 66 12 0
25 111 23 1 4
26 481 290 10 10
27 484 375 10 6
28 407 283 11 13
29 486 276 7 6
30 2 22 2 0
31 483 367 14 9
32 478 560 7 10
33 7 112 7 3
34 10 12 0 0
35 483 467 8 10
36 0 3 0 1
37 29 4 7 1
38 0 0 0 0
39 0 0 0 0
40 0 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 37 5 10 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 0 0 0 0
49 0 0 0 0
50 0 0 0 0
51 56 2 7 0
