Number of messages: 822
Host  receved_Messages Transfered_Messages  receved_messages(destiny) direct_Delivery
0 353 285 4 10
1 8 19 8 1
2 13 84 13 0
3 359 581 7 23
4 10 45 10 3
5 13 69 13 2
6 7 42 7 0
7 482 153 7 5
8 4 15 4 1
9 357 134 7 7
10 479 236 7 12
11 495 190 10 14
12 523 630 14 32
13 15 47 15 1
14 467 616 14 12
15 8 57 8 2
16 8 31 8 1
17 8 100 8 6
18 5 26 5 1
19 536 352 10 19
20 542 544 7 17
21 535 450 13 21
22 537 173 10 21
23 3 13 3 1
24 13 37 13 0
25 257 36 4 5
26 11 45 11 2
27 11 22 11 0
28 490 403 11 16
29 9 36 9 1
30 4 31 4 0
31 532 513 15 9
32 7 72 7 3
33 536 2001 8 88
34 14 13 0 1
35 532 532 9 12
36 11 14 11 0
37 480 50 11 1
38 0 0 0 0
39 0 6 0 0
40 2 0 0 0
41 0 0 0 0
42 0 0 0 0
43 0 0 0 0
44 4 0 0 0
45 0 0 0 0
46 0 0 0 0
47 0 0 0 0
48 2 0 0 0
49 7 0 7 0
50 14 0 0 0
51 7 7 7 0
